step0,detect0,c_time0,s_time0,p_time0,,step1,detect1,c_time1,s_time1,p_time1,,step2,detect2,c_time2,s_time2,p_time2
1.317999363,0.655730009,0.126830101,0.591403008,0.466957092,,1.307345152,0.656398773,0.122384548,0.586474895,0.467500925,,1.28267765,0.655411959,0.124109745,0.56424737,0.46246624
3.413176298,2.10962081,0.348651886,1.406919718,1.290335417,,3.443940401,2.146168947,0.352985859,1.414169788,1.309060097,,3.324413776,2.101899147,0.342061758,1.341073275,1.277369022
4.472169876,3.003768206,0.463709354,1.830486298,1.69425869,,4.657075167,3.050546885,0.495920897,1.892226934,1.761675119,,4.370139837,2.906886101,0.45592308,1.743983269,1.689026356
4.642739296,3.046475887,0.481502295,1.891332865,1.764692068,,5.032470942,3.232861757,0.559348822,2.022722483,1.892270327,,4.567568064,3.052715302,0.481981516,1.813619137,1.768844843
4.724329948,3.114594698,0.494290352,1.930975199,1.784959793,,4.751824141,3.322215319,0.492768288,1.936906338,1.807940722,,4.69377327,3.324161768,0.509354353,1.866145372,1.799394131
4.855100632,3.210670471,0.535598755,1.95289588,1.817265272,,4.787871122,3.193762302,0.508712053,1.933846235,1.821942806,,4.643421173,3.136973143,0.497330904,1.840417624,1.791030169
4.928307056,3.368826628,0.565264702,1.966589928,1.846204996,,4.691048622,3.158280373,0.48306942,1.893188238,1.803398609,,4.779857159,3.209177494,0.533784389,1.867798567,1.843146324
5.003092051,3.229189396,0.576067686,2.007100582,1.867862463,,4.702067375,3.125635624,0.479098558,1.907786846,1.803926945,,4.673615217,3.146968842,0.496501923,1.848377228,1.810703278
4.830815792,3.114655972,0.545818329,1.938536406,1.811649084,,4.838047504,3.164077997,0.519277096,1.947762012,1.83698535,,4.657531261,3.086282253,0.509397745,1.835833549,1.791624308
4.757369995,3.027783394,0.53869009,1.908230782,1.781010628,,4.567657948,3.16527009,0.472503424,1.846522331,1.747850657,,4.551272392,3.193078518,0.495035887,1.795384407,1.753472805
4.853777409,3.109641552,0.567151308,1.924014568,1.813641787,,4.515841007,2.965154886,0.467847824,1.817510843,1.735048294,,4.41830802,2.952746868,0.465196371,1.742568493,1.717428923
4.962631226,3.295594454,0.592434883,1.960873604,1.841516733,,4.721071005,3.067305088,0.500864267,1.892759562,1.805881739,,4.472465038,2.973614931,0.470821619,1.757892609,1.744607687
5.164596319,3.301233053,0.611477852,2.04689455,1.920329094,,4.714871407,3.119852304,0.49998951,1.892640114,1.800488472,,4.568194866,3.071655512,0.484909296,1.802609921,1.77009964
5.061216593,3.288150072,0.582695723,2.040045023,1.870779991,,4.713511944,3.130535126,0.478308201,1.922487497,1.800624847,,4.832971811,3.212768555,0.543653488,1.904856205,1.839504957
5.080556154,3.347955704,0.582062006,2.019245386,1.905307055,,4.748260498,3.201305866,0.488321543,1.908619642,1.830786467,,4.844726324,3.284456968,0.53756094,1.887276411,1.868458748
5.05360961,3.264142752,0.589287519,2.010339499,1.880349874,,4.67994833,3.130236864,0.478843451,1.889558554,1.799078703,,4.848425388,3.243819714,0.542327166,1.888946056,1.861225128
5.059290886,3.323763609,0.583323717,2.00963521,1.887409687,,4.709746122,3.416094303,0.48190856,1.897409439,1.811630726,,4.775227308,3.499581099,0.520473957,1.86534977,1.849710941
4.788611412,3.392928362,0.504477024,1.92729497,1.827113628,,4.742324829,3.194293022,0.486161709,1.906879187,1.826711893,,4.847902775,3.28027463,0.53487134,1.887344837,1.872383356
5.130623579,3.366368294,0.592988253,2.040529251,1.906089067,,4.824352503,3.249638557,0.506154537,1.931186199,1.850048542,,4.876309872,3.308480024,0.54326129,1.897042036,1.877236128
5.203155041,3.419087887,0.5931077,2.113111496,1.912885666,,4.833559513,3.249512672,0.498584032,1.967839718,1.83815217,,4.972240686,3.359003782,0.553332567,1.961173773,1.889087915
4.960784197,3.238835335,0.564466,1.965529203,1.859534025,,4.790004492,3.143175602,0.506241798,1.909566879,1.838017464,,4.789805651,3.175194263,0.528091192,1.860873699,1.850693941
4.865115404,3.141614914,0.540325642,1.944996119,1.828373671,,4.736811399,3.104950666,0.496263027,1.898715019,1.816077232,,4.721320868,3.126260996,0.517265797,1.846501112,1.817738056
4.906258821,3.161481857,0.548805714,1.965826988,1.824896812,,4.712417603,3.10853982,0.496234894,1.88827014,1.800108433,,4.667596102,3.109424829,0.510105133,1.827278852,1.79712677
4.917881966,3.159739733,0.566401005,1.957746267,1.825848818,,4.613127232,3.051324368,0.473608494,1.856367588,1.771335363,,4.682914495,3.107316256,0.513299227,1.828453064,1.804451704
4.905866146,3.20922637,0.542874098,1.973476171,1.830639124,,4.683252335,3.432420969,0.476317167,1.90221262,1.788160563,,4.799916983,3.539939165,0.527315855,1.883987427,1.836888552
5.0258708,3.531463146,0.565535784,2.018088818,1.871850014,,4.932759285,3.280062437,0.52588582,1.982875347,1.873290777,,4.876447201,3.243463039,0.540790558,1.909730196,1.86583066
4.727382898,3.079026222,0.503758669,1.904924154,1.788114309,,4.735171795,3.099411726,0.489815712,1.898810625,1.809656382,,4.74639535,3.134224176,0.518193722,1.855072737,1.826955795
4.998082161,3.233795643,0.562391758,2.011652708,1.852832556,,5.067137241,3.249849319,0.568918705,2.010728836,1.904396057,,4.812826157,3.173840284,0.524654627,1.89545393,1.841268539
5.025904894,3.265401602,0.555649996,2.021565199,1.872196198,,4.873119593,3.212520361,0.507962227,1.968160629,1.850901842,,4.900115967,3.252764463,0.538950682,1.925228357,1.873435259
5.082434177,3.299429178,0.575078011,2.036438227,1.890405655,,4.850411177,3.223095179,0.500249386,1.954756737,1.857243538,,4.962196112,3.303260326,0.550489187,1.934587479,1.899435997
5.082502365,3.309165716,0.587255239,2.014190674,1.89663434,,4.818548918,3.221528053,0.500765562,1.931030273,1.845815182,,4.905278206,3.309907436,0.546141386,1.904026985,1.883708954
5.271370411,3.487070799,0.620095253,2.094338179,1.946375847,,4.812247992,3.270565748,0.488688946,1.945628881,1.842213154,,4.923304319,3.338551044,0.540102959,1.924406528,1.890856743
5.137885094,3.35443759,0.582762241,2.038537979,1.925019026,,4.775085211,3.250327587,0.486423016,1.91739583,1.837150812,,4.817296743,3.301190376,0.518466234,1.88029027,1.863839626
5.107675791,3.315662622,0.576864481,2.056738138,1.892702818,,4.80366993,3.592466593,0.493829012,1.939614296,1.835087299,,4.714383364,3.573213816,0.494176865,1.865120888,1.820841789
5.062337875,3.608194351,0.571912289,2.01402092,1.900118589,,4.625639915,3.089440346,0.47405529,1.855461121,1.784165144,,4.558932304,3.083150387,0.47896862,1.78791666,1.772504091
4.95620966,3.288147211,0.55360508,1.975559473,1.861698389,,4.759789944,3.182085991,0.503102541,1.902692318,1.817583799,,4.571275711,3.13520813,0.481814384,1.792504787,1.776268005
5.139823675,3.351068735,0.591466904,2.054033518,1.904677629,,4.926491022,3.267181635,0.53502202,1.973157167,1.858542681,,4.68233943,3.152820826,0.500726938,1.845837355,1.799232006
5.124387741,3.331081152,0.591241598,2.044957876,1.898374557,,4.7178514,3.149981499,0.485323429,1.900423765,1.805171728,,4.65831995,3.150265694,0.491277218,1.834116697,1.801469803